Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-01-08,RCOM,EQ,13.9,13.8,14.15,13.7,14.0,14.0,13.94,70769680,98672661395000.0,35812,6446232,0.0911
2019-01-09,RCOM,EQ,14.0,14.1,14.15,13.65,13.9,13.8,13.83,58166357,80449729290000.0,19726,5414963,0.0931
2019-01-10,RCOM,EQ,13.8,13.9,14.0,13.65,13.95,13.85,13.83,51883452,71774798850000.0,40648,4578737,0.0883
2019-01-11,RCOM,EQ,13.85,13.95,14.0,13.6,13.7,13.7,13.74,47896536,65823054975000.0,20927,4418652,0.09230000000000001
2019-01-14,RCOM,EQ,13.7,13.7,13.7,13.35,13.35,13.4,13.48,32004610,43149445300000.0,14492,5309975,0.1659
2019-01-15,RCOM,EQ,13.4,13.4,13.6,13.35,13.5,13.45,13.47,48091793,64775725090000.0,15944,4119486,0.0857
2019-01-16,RCOM,EQ,13.45,13.5,14.15,13.4,13.9,13.8,13.82,69538057,96104476025000.0,27021,7280304,0.10470000000000002
2019-01-17,RCOM,EQ,13.8,13.85,13.95,13.45,13.65,13.55,13.63,70098847,95537744170000.0,44143,5913298,0.0844
2019-01-18,RCOM,EQ,13.55,13.6,13.6,13.25,13.3,13.35,13.39,50095135,67082362720000.01,43759,4916706,0.0981
2019-01-21,RCOM,EQ,13.35,13.4,13.5,13.05,13.2,13.1,13.26,46124415,61169788720000.01,59676,4167218,0.09029999999999999
2019-01-22,RCOM,EQ,13.1,13.1,13.45,12.85,13.25,13.35,13.07,59954052,78365622385000.0,50152,7394558,0.1233
2019-01-23,RCOM,EQ,13.35,13.3,13.4,12.85,13.0,12.95,13.11,59736285,78289981560000.0,23826,6592494,0.1104
2019-01-24,RCOM,EQ,12.95,12.75,13.2,12.65,12.85,12.85,12.94,62852835,81316713295000.0,54526,8098766,0.12890000000000001
2019-01-25,RCOM,EQ,12.85,12.85,12.95,12.35,12.4,12.45,12.65,27002942,34152908489999.996,54275,6726541,0.24910000000000002
2019-01-28,RCOM,EQ,12.45,12.45,12.45,11.85,12.2,12.15,12.14,47207121,57304548460000.0,21446,7311111,0.1549
2019-01-29,RCOM,EQ,12.15,12.05,12.6,12.0,12.1,12.1,12.28,44626964,54821641754999.99,16778,5975234,0.13390000000000002
2019-01-30,RCOM,EQ,12.1,12.1,12.35,11.35,11.45,11.55,11.86,43666454,51784843100000.0,21540,7832185,0.1794
2019-01-31,RCOM,EQ,11.55,11.55,12.1,10.9,12.0,11.75,11.38,61641012,70158303645000.01,53278,11235837,0.18230000000000002
2019-02-01,RCOM,EQ,11.75,12.0,12.1,11.5,11.55,11.6,11.81,56418188,66620014375000.0,29929,5544985,0.0983
2019-02-04,RCOM,EQ,11.6,10.45,10.45,5.3,7.55,7.55,7.34,378845417,278072618510000.0,182518,48347702,0.1276
2019-02-05,RCOM,EQ,7.55,7.45,7.55,5.35,5.4,5.55,6.13,393801088,241231313410000.0,166348,62373515,0.1584
2019-02-06,RCOM,EQ,5.55,5.25,6.55,4.85,5.65,5.5,5.32,272318926,144815509435000.0,88449,37594051,0.1381
2019-02-07,RCOM,EQ,5.5,5.5,5.7,4.9,5.15,5.2,5.19,186818436,97016441545000.0,60781,30930183,0.1656
2019-02-08,RCOM,EQ,5.2,4.9,5.55,4.9,5.45,5.35,5.32,136497533,72624104765000.0,42039,15183219,0.1112
2019-02-11,RCOM,EQ,5.35,5.75,5.75,5.2,5.35,5.35,5.35,62523776,33455232520000.0,25040,9594411,0.1535
2019-02-12,RCOM,EQ,5.35,5.35,5.75,5.1,5.6,5.65,5.41,88569746,47955128445000.0,30659,13550660,0.153
2019-02-13,RCOM,EQ,5.65,5.55,6.05,5.35,5.75,5.8,5.77,124810464,72047298905000.0,52589,12312563,0.0987
2019-02-14,RCOM,EQ,5.8,5.75,5.75,5.2,5.65,5.55,5.52,90978467,50188532985000.0,34636,18468677,0.203
2019-02-15,RCOM,EQ,5.55,5.5,5.7,5.4,5.45,5.5,5.53,56200999,31096228464999.996,24834,7861702,0.1399
2019-02-18,RCOM,EQ,5.5,6.05,6.85,5.9,6.15,6.1,6.14,105009120,64480788629999.99,45477,16232368,0.15460000000000002
2019-02-19,RCOM,EQ,6.1,6.2,6.2,5.95,6.05,6.0,6.1,53952257,32907721735000.004,22491,8725701,0.1617
2019-02-20,RCOM,EQ,6.0,6.1,6.15,5.45,6.0,5.75,5.72,134464383,76880196580000.0,52194,15184204,0.1129
2019-02-21,RCOM,EQ,5.75,5.85,6.55,5.7,6.45,6.35,6.06,115064994,69735359350000.0,45498,21068382,0.18309999999999998
2019-02-22,RCOM,EQ,6.35,6.35,7.65,6.25,6.5,6.5,6.87,244157493,167679505405000.0,86265,45375729,0.1858
2019-02-25,RCOM,EQ,6.5,6.5,6.5,5.9,6.15,6.0,6.07,95247158,57797005045000.01,30672,20987169,0.22030000000000002
2019-02-26,RCOM,EQ,6.0,5.9,6.65,5.85,6.4,6.4,6.28,121674643,76370945335000.0,38280,14618726,0.1201
2019-02-27,RCOM,EQ,6.4,6.45,6.7,6.2,6.55,6.5,6.46,103565202,66908452329999.99,39706,18114769,0.1749
2019-02-28,RCOM,EQ,6.5,6.5,6.65,6.3,6.5,6.5,6.45,89537271,57741961335000.0,48662,17743671,0.19820000000000002
2019-03-01,RCOM,EQ,6.5,6.55,6.75,6.5,6.6,6.6,6.61,37810434,24976271540000.0,18634,10474837,0.277
