Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-01-24,LUPIN,EQ,864.6,866.0,870.95,858.2,870.95,868.4,865.46,701634,60723557004999.99,18164,165224,0.23550000000000001
2019-01-25,LUPIN,EQ,868.4,870.0,879.4,855.1,865.0,865.05,865.84,1345215,116473729975000.0,41678,351992,0.26170000000000004
2019-01-28,LUPIN,EQ,865.05,849.15,870.65,844.3,865.0,865.25,862.38,2416180,208366715365000.0,61437,707030,0.2926
2019-01-29,LUPIN,EQ,865.25,863.7,875.0,855.0,862.4,860.65,866.31,1468995,127260549920000.0,29635,639344,0.43520000000000003
2019-01-30,LUPIN,EQ,860.65,861.0,872.5,861.0,868.0,866.9,867.58,930968,80768727630000.0,38013,404443,0.4344
2019-01-31,LUPIN,EQ,866.9,868.15,885.95,866.0,875.2,875.7,876.93,2347389,205850375465000.0,57274,1123289,0.47850000000000004
2019-02-01,LUPIN,EQ,875.7,879.7,888.0,870.3,881.0,883.1,880.12,1032450,90867587690000.0,31961,242526,0.2349
2019-02-04,LUPIN,EQ,883.1,882.95,888.65,848.55,849.5,855.9,865.7,1352120,117053417040000.02,42972,304840,0.2255
2019-02-05,LUPIN,EQ,855.9,855.5,855.5,830.35,835.8,837.7,840.48,1344930,113038809700000.0,34159,306538,0.2279
2019-02-06,LUPIN,EQ,837.7,838.0,851.5,805.0,847.5,842.1,830.5,6429178,533942269195000.0,124456,848261,0.1319
2019-02-07,LUPIN,EQ,842.1,832.0,844.55,810.4,822.85,822.8,823.64,3613894,297654436380000.0,77649,566187,0.1567
2019-02-08,LUPIN,EQ,822.8,822.0,836.3,805.1,834.75,830.75,820.67,2050927,168313452935000.0,41277,343061,0.1673
2019-02-11,LUPIN,EQ,830.75,821.5,829.75,808.0,820.0,820.5,819.05,1689390,138369904030000.0,37774,218713,0.1295
2019-02-12,LUPIN,EQ,820.5,822.55,824.75,806.25,812.8,810.95,815.89,1711425,139634064815000.02,56119,750135,0.43829999999999997
2019-02-13,LUPIN,EQ,810.95,816.0,820.0,782.55,791.0,791.4,794.8,2906224,230986916825000.0,68752,860559,0.2961
2019-02-14,LUPIN,EQ,791.4,793.05,812.0,790.5,808.65,810.2,803.91,1848763,148624813960000.0,40718,691388,0.374
2019-02-15,LUPIN,EQ,810.2,809.0,809.95,767.1,774.0,774.75,779.62,2939666,229181636655000.03,76039,1142811,0.38880000000000003
2019-02-18,LUPIN,EQ,774.75,778.1,785.0,760.5,773.0,770.9,770.34,2332485,179680453670000.0,69292,977968,0.4193
2019-02-19,LUPIN,EQ,770.9,776.0,776.0,761.1,762.2,763.1,765.79,1382541,105873358740000.0,36138,452373,0.3272
2019-02-20,LUPIN,EQ,763.1,766.0,768.45,752.6,762.9,762.65,762.29,1452620,110731544845000.0,37237,525254,0.3616
2019-02-21,LUPIN,EQ,762.65,760.55,772.0,755.0,770.2,769.8,761.68,1554032,118366907625000.0,29812,540006,0.34750000000000003
2019-02-22,LUPIN,EQ,769.8,771.95,782.65,767.05,774.5,777.7,775.14,1503832,116568522015000.02,40223,360844,0.2399
2019-02-25,LUPIN,EQ,777.7,778.0,784.8,770.5,776.0,777.45,778.07,1069147,83187464375000.0,22703,338909,0.317
2019-02-26,LUPIN,EQ,777.45,777.0,781.0,764.1,775.0,776.1,772.92,1303086,100718253560000.0,36421,333335,0.25579999999999997
2019-02-27,LUPIN,EQ,776.1,778.0,787.0,765.0,765.05,768.0,774.88,1370928,106230105925000.0,36676,407660,0.2974
2019-02-28,LUPIN,EQ,768.0,765.05,773.5,761.05,766.0,763.75,765.24,2419997,185188917240000.0,64841,974240,0.4026
2019-03-01,LUPIN,EQ,763.75,771.2,790.55,768.45,790.55,786.6,777.59,2349879,182725293125000.0,35836,1154049,0.4911
